age,gender,time_on_site,pages_viewed,device,purchase_amount,discount_used,click_rate,return_customer
63.0,Male,18.6856212739242,3,Mobile,289.2538855520292,Yes,35.87881443248436,1
43.0,Female,4.411306083318056,9,Desktop,224.36609059591788,No,177.62532133110582,0
35.0,Male,9.21757537213898,17,Mobile,254.5599934700556,Yes,42.64841112809003,0
41.5,Female,13.183255331629011,4,Desktop,66.94988406679897,No,34.546995144270184,1
41.5,Female,17.709026811580333,3,Mobile,170.06222460917937,Yes,56.095720195005846,0
59.0,Male,13.9234336101853,15,Mobile,292.98800076833214,No,48.74012501558697,0
45.0,Male,7.349641280924519,7,Mobile,167.35890006286385,Yes,47.675040524873125,0
51.0,Female,13.322453259691896,12,Mobile,21.82046866244794,Yes,165.85993886267943,0
55.0,Male,16.38928668722719,15,Desktop,280.71039333842657,Yes,135.236273115781,1
21.0,Female,12.459039216646325,16,Mobile,85.39823316626428,No,159.5396939560913,0
50.0,Male,15.715381326203444,2,Mobile,279.0283722633435,Yes,4.43374774806189,1
55.0,Male,8.800294164519093,12,Mobile,179.73493671745774,Yes,41.33722193957923,1
56.0,Female,4.883890644943543,7,Desktop,222.4497794320048,No,142.33786893698226,0
55.0,Male,20.08886820995748,12,Mobile,10.525714731246014,Yes,143.26223748585147,1
44.0,Male,19.645973478848465,1,Mobile,122.96656266481676,No,133.61051891810405,1
55.0,Male,9.03663875972239,2,Mobile,217.7410878533627,No,128.3828374073485,0
19.0,Female,3.592477022174865,11,Mobile,143.50171936407614,Yes,20.931281364398444,0
59.0,Male,12.576240605899631,6,Mobile,138.1445596931792,No,211.78109974433767,1
37.0,Female,5.786536923948604,12,Mobile,267.6926481331186,No,144.9432196347644,1
46.0,Female,6.996481401176792,17,Mobile,180.06559517641313,Yes,104.45166227292984,0
51.0,Female,5.666367636127833,17,Mobile,158.23682316352796,No,103.60083005003901,0
19.0,Male,9.508014125677915,4,Mobile,45.85810064308891,No,42.181001187877726,0
28.0,Female,8.02364908231759,6,Mobile,207.7947878229955,No,125.88253788682596,0
50.0,Male,10.446617357548885,17,Mobile,53.62334530918528,No,47.94888058854801,0
27.0,Male,6.2968563006069225,18,Desktop,118.02136222817796,No,81.64463799084075,1
23.0,Female,10.683787698243677,14,Desktop,78.04614205460469,No,141.84762793477304,1
64.0,Male,13.520483940775987,1,Desktop,161.17087314144723,No,18.98408291975082,0
33.0,Female,14.848922386434475,9,Desktop,22.464146251828247,Yes,85.5798851500102,0
29.0,Female,6.009788606313751,5,Mobile,109.5608838990398,Yes,15.414110325966844,1
22.0,Female,19.173241474096884,4,Mobile,127.8172744640092,Yes,81.58991214049249,1
59.0,Male,9.524799157021688,5,Mobile,274.60707580328403,No,160.33616527284008,1
18.0,Male,8.420358769451006,10,Desktop,216.46056350895864,No,167.20056033093044,1
31.0,Male,8.230641536541278,7,Desktop,70.30831413276142,Yes,117.36126367331092,1
30.0,Male,11.777130896030464,19,Mobile,293.9581033782069,No,101.15009023237327,1
37.0,Female,4.405954685200913,1,Mobile,272.38406853010054,No,102.0067049475404,1
32.0,Male,13.39650166952475,11,Mobile,145.98670710598557,Yes,46.39342745867426,0
24.0,Female,6.871268145821274,5,Mobile,58.61859321745045,No,134.00501662846696,1
55.0,Male,13.017984851595577,19,Mobile,36.966512223016814,Yes,142.75285772139264,1
27.0,Male,14.348187687900696,11,Mobile,40.401556502174856,Yes,153.83125052280684,0
60.0,Male,7.913522083016089,5,Mobile,251.16864784294063,No,121.65907299528926,1
19.0,Male,12.27877049035608,12,Desktop,241.5532156162488,Yes,159.84624962714017,0
